Data Set 1:Time(min),Data Set 1:Temperature(°C)
18.266667,60
18.3,60
18.333333,60
18.366667,60
18.4,60
18.433333,60
18.466667,59.9
18.5,59.9
18.533333,59.9
18.566667,59.9
18.6,59.9
18.633333,59.9
18.666667,59.9
18.7,59.9
18.733333,59.9
18.766667,59.9
18.8,59.8
18.833333,59.8
18.866667,59.8
18.9,59.8
18.933333,59.8
18.966667,59.8
19,59.8
19.033333,59.8
19.066667,59.8
19.1,59.8
19.133333,59.8
19.166667,59.8
19.2,59.8
19.233333,59.7
19.266667,59.7
19.3,59.7
19.333333,59.7
19.366667,59.7
19.4,59.7
19.433333,59.7
19.466667,59.7
19.5,59.7
19.533333,59.7
19.566667,59.6
19.6,59.6
19.633333,59.6
19.666667,59.6
19.7,59.6
19.733333,59.6
19.766667,59.6
19.8,59.6
19.833333,59.6
19.866667,59.6
19.9,59.6
19.933333,59.5
19.966667,59.5
20,59.5
20.033333,59.5
20.066667,59.5
20.1,59.5
20.133333,59.5
20.166667,59.5
20.2,59.5
20.233333,59.5
20.266667,59.5
20.3,59.4
20.333333,59.4
20.366667,59.4
20.4,59.4
20.433333,59.4
20.466667,59.4
20.5,59.4
20.533333,59.4
20.566667,59.4
20.6,59.4
20.633333,59.3
20.666667,59.3
20.7,59.3
20.733333,59.3
20.766667,59.3
20.8,59.3
20.833333,59.3
20.866667,59.3
20.9,59.3
20.933333,59.3
20.966667,59.3
21,59.3
21.033333,59.3
21.066667,59.2
21.1,59.2
21.133333,59.2
21.166667,59.2
21.2,59.2
21.233333,59.2
21.266667,59.2
21.3,59.2
21.333333,59.2
21.366667,59.2
21.4,59.1
21.433333,59.2
21.466667,59.1
21.5,59.1
21.533333,59.1
21.566667,59.1
21.6,59.1
21.633333,59.1
21.666667,59.1
21.7,59.1
21.733333,59.1
21.766667,59.1
21.8,59
21.833333,59
21.866667,59
21.9,59
21.933333,59
21.966667,59
22,59
22.033333,59
22.066667,59
22.1,59
22.133333,59
22.166667,59
22.2,59
22.233333,58.9
22.266667,58.9
22.3,58.9
22.333333,58.9
22.366667,58.9
22.4,58.9
22.433333,58.9
22.466667,58.9
22.5,58.9
22.533333,58.9
22.566667,58.9
22.6,58.9
22.633333,58.8
22.666667,58.8
22.7,58.8
22.733333,58.8
22.766667,58.8
22.8,58.8
22.833333,58.8
22.866667,58.8
22.9,58.8
22.933333,58.8
22.966667,58.8
23,58.8
23.033333,58.7
23.066667,58.7
23.1,58.7
23.133333,58.7
23.166667,58.7
23.2,58.7
23.233333,58.7
23.266667,58.7
23.3,58.7
23.333333,58.7
23.366667,58.6
23.4,58.6
23.433333,58.6
23.466667,58.6
23.5,58.6
23.533333,58.6
23.566667,58.6
23.6,58.6
23.633333,58.6
23.666667,58.6
23.7,58.6
23.733333,58.6
23.766667,58.6
23.8,58.5
23.833333,58.5
23.866667,58.5
23.9,58.5
23.933333,58.5
23.966667,58.5
24,58.5
24.033333,58.5
24.066667,58.5
24.1,58.5
24.133333,58.5
24.166667,58.5
24.2,58.4
24.233333,58.4
24.266667,58.4
24.3,58.4
24.333333,58.4
24.366667,58.4
24.4,58.4
24.433333,58.4
24.466667,58.4
24.5,58.4
24.533333,58.4
24.566667,58.4
24.6,58.4
24.633333,58.3
24.666667,58.3
24.7,58.3
24.733333,58.3
24.766667,58.3
24.8,58.3
24.833333,58.3
24.866667,58.3
24.9,58.3
24.933333,58.3
24.966667,58.3
25,58.2
