Data Set 1:Time(min),Data Set 1:Temperature(°C)
16.833333,58.6
16.866667,58.6
16.900000,58.6
16.933333,58.6
16.966667,58.6
17.000000,58.6
17.033333,58.6
17.066667,58.6
17.100000,58.6
17.133333,58.6
17.166667,58.5
17.200000,58.5
17.233333,58.5
17.266667,58.5
17.300000,58.5
17.333333,58.5
17.366667,58.5
17.400000,58.5
17.433333,58.5
17.466667,58.5
17.500000,58.5
17.533333,58.5
17.566667,58.4
17.600000,58.4
17.633333,58.4
17.666667,58.4
17.700000,58.4
17.733333,58.4
17.766667,58.4
17.800000,58.4
17.833333,58.4
17.866667,58.4
17.900000,58.4
17.933333,58.4
17.966667,58.3
18.000000,58.3
18.033333,58.3
18.066667,58.3
18.100000,58.3
18.133333,58.3
18.166667,58.3
18.200000,58.3
18.233333,58.3
18.266667,58.3
18.300000,58.3
18.333333,58.2
18.366667,58.3
18.400000,58.2
18.433333,58.2
18.466667,58.2
18.500000,58.2
18.533333,58.2
18.566667,58.2
18.600000,58.2
18.633333,58.2
18.666667,58.2
18.700000,58.2
18.733333,58.2
18.766667,58.1
18.800000,58.2
18.833333,58.1
18.866667,58.1
18.900000,58.1
18.933333,58.1
18.966667,58.1
19.000000,58.1
19.033333,58.1
19.066667,58.1
19.100000,58.1
19.133333,58.0
19.166667,58.1
19.200000,58.1
19.233333,58.0
19.266667,58.0
19.300000,58.0
19.333333,58.0
19.366667,58.0
19.400000,58.0
19.433333,58.0
19.466667,58.0
19.500000,58.0
19.533333,58.0
19.566667,58.0
19.600000,58.0
19.633333,58.0
19.666667,57.9
19.700000,57.9
19.733333,57.9
19.766667,57.9
19.800000,57.9
19.833333,57.9
19.866667,57.9
19.900000,57.9
19.933333,57.9
19.966667,57.9
20.000000,57.8
20.033333,57.8
20.066667,57.8
20.100000,57.8
20.133333,57.8
20.166667,57.8
20.200000,57.8
20.233333,57.8
20.266667,57.8
20.300000,57.8
20.333333,57.8
20.366667,57.8
20.400000,57.8
20.433333,57.7
20.466667,57.8
20.500000,57.7
20.533333,57.7
20.566667,57.7
20.600000,57.7
20.633333,57.7
20.666667,57.7
20.700000,57.7
20.733333,57.7
20.766667,57.7
20.800000,57.7
20.833333,57.7
20.866667,57.7
20.900000,57.6
20.933333,57.6
20.966667,57.6
21.000000,57.6
21.033333,57.6
21.066667,57.6
21.100000,57.6
21.133333,57.6
21.166667,57.6
21.200000,57.6
21.233333,57.6
21.266667,57.6
21.300000,57.6
21.333333,57.6
21.366667,57.5
21.400000,57.5
21.433333,57.5
21.466667,57.5
21.500000,57.5
21.533333,57.5
21.566667,57.5
21.600000,57.5
21.633333,57.5
21.666667,57.5
21.700000,57.5
21.733333,57.5
21.766667,57.4
21.800000,57.4
21.833333,57.4
21.866667,57.4
21.900000,57.4
21.933333,57.4
21.966667,57.4
22.000000,57.4
22.033333,57.4
22.066667,57.4
22.100000,57.4
22.133333,57.4
22.166667,57.3
22.200000,57.3
22.233333,57.3
22.266667,57.3
22.300000,57.3
22.333333,57.3
22.366667,57.3
22.400000,57.3
22.433333,57.3
22.466667,57.3
22.500000,57.3
22.533333,57.3
22.566667,57.3
22.600000,57.2
22.633333,57.2
22.666667,57.2
22.700000,57.2
22.733333,57.2
22.766667,57.2
22.800000,57.2
22.833333,57.2
22.866667,57.2
22.900000,57.2
22.933333,57.2
22.966667,57.2
23.000000,57.2
23.033333,57.2
23.066667,57.2
23.100000,57.1
23.133333,57.1
